Sum of Adj Close,Sum of Close,Sum of Column1,Year,Quarter,Month,Day,Sum of High,Sum of Low,Sum of Open,Sum of Volume
1034.367676,1175.724976,217,2015,Qtr 4,November,18,1194.449951,1173,1194.449951,1520352
1039.25,1181.275024,218,2015,Qtr 4,November,19,1190.800049,1176,1182.675049,1866906
1054.998291,1199.175049,219,2015,Qtr 4,November,20,1211.775024,1180.974976,1183.25,2012126
1051.787354,1195.525024,220,2015,Qtr 4,November,23,1206.699951,1191.125,1202.650024,1088082
1041.625732,1183.974976,221,2015,Qtr 4,November,24,1196.224976,1182.75,1190.025024,998640
1031.772217,1172.775024,222,2015,Qtr 4,November,26,1191.199951,1168.925049,1188.949951,2915292
1035.203247,1176.675049,223,2015,Qtr 4,November,27,1179.724976,1166.25,1174,1737206
1044.088989,1186.775024,224,2015,Qtr 4,November,30,1195.625,1175.074951,1182.5,4100048
1038.964233,1180.949951,225,2015,Qtr 4,December,1,1189.025024,1178.525024,1181.449951,1721994
1040.415894,1182.599976,226,2015,Qtr 4,December,2,1189.050049,1173.25,1189,1640296
1034.059937,1175.375,227,2015,Qtr 4,December,3,1186.5,1173.5,1180,2283358
1024.227905,1164.199951,228,2015,Qtr 4,December,4,1173.650024,1160.550049,1170,1246092
1020.445374,1159.900024,229,2015,Qtr 4,December,7,1171.949951,1157.625,1166.099976,1382604
1024.491943,1164.5,230,2015,Qtr 4,December,8,1174.5,1158.650024,1159.699951,1139964
1041.493652,1183.824951,231,2015,Qtr 4,December,9,1186.400024,1160,1168.949951,5282806
1048.928223,1192.275024,232,2015,Qtr 4,December,10,1195.599976,1176,1184.5,1723988
1049.565674,1193,233,2015,Qtr 4,December,11,1195.974976,1181.625,1191.5,1652378
1046.244385,1189.224976,234,2015,Qtr 4,December,14,1193.5,1165.300049,1167.599976,2718532
1045.100952,1187.925049,235,2015,Qtr 4,December,15,1192.5,1181.525024,1189.224976,1135868
1059.418823,1204.199951,236,2015,Qtr 4,December,16,1207.25,1192,1192,1435934
1073.209473,1219.875,237,2015,Qtr 4,December,17,1222.5,1196.675049,1207.5,1618844
1063.114136,1208.400024,238,2015,Qtr 4,December,18,1217.099976,1200.324951,1210,3024970
1076.134521,1223.199951,239,2015,Qtr 4,December,21,1225,1203.425049,1209.974976,1610104
1057.945435,1202.525024,240,2015,Qtr 4,December,22,1220,1200,1220,1560858
1067.072998,1212.900024,241,2015,Qtr 4,December,23,1217.5,1205.275024,1207.5,849834
1070.790039,1217.125,242,2015,Qtr 4,December,24,1219.099976,1202,1210.5,843160
1083.30481,1231.349976,243,2015,Qtr 4,December,28,1233.199951,1210.099976,1214,3704198
1080.269531,1227.900024,244,2015,Qtr 4,December,29,1232.650024,1222.875,1229.175049,1708524
1063.773926,1209.150024,245,2015,Qtr 4,December,30,1229.5,1206.150024,1226.525024,1605762
1071.933716,1218.425049,246,2015,Qtr 4,December,31,1224.25,1203.75,1207.875,1240318
1062.937866,1208.199951,247,2016,Qtr 1,January,1,1219.5,1206.125,1219.5,712262
1042.351807,1184.800049,248,2016,Qtr 1,January,4,1207,1183.025024,1205.074951,1870184
1033.267944,1174.474976,249,2016,Qtr 1,January,5,1193.300049,1170.5,1192.5,2678020
1047.630249,1190.800049,250,2016,Qtr 1,January,6,1193.074951,1175.099976,1175.099976,2653228
1043.077271,1185.625,251,2016,Qtr 1,January,7,1191.449951,1180,1185,3199580
1054.668335,1198.800049,252,2016,Qtr 1,January,8,1203.675049,1186.25,1192.5,1907544
1039.162354,1181.175049,253,2016,Qtr 1,January,11,1192,1174.425049,1191.25,2930228
1023.634399,1163.525024,254,2016,Qtr 1,January,12,1182.5,1150.800049,1181.349976,3482594
